ICAO Code,Latitude,Longitude,City
SIAL,60.5661,63.0239,Sialkot
SUKK,46.3831,-76.6266,Sukkur
SUKK,13.1292,136.4872,Sukkur
GUJR,-86.5356,151.6717,Gujranwala
SUKK,-78.562,19.3227,Sukkur
FAIS,-51.6612,-82.9369,Faisalabad
MULT,-34.0596,-170.0866,Multan
ISLA,-26.3743,12.169,Islamabad
MULT,14.3892,-51.7405,Multan
FAIS,61.9301,95.8284,Faisalabad
FAIS,50.0432,-66.4952,Faisalabad
QUET,57.2264,-149.0497,Quetta
SUKK,-74.6638,131.4844,Sukkur
GWAD,-60.454,-131.2991,Gwadar
GUJR,-24.6225,-96.7109,Gujranwala
SUKK,-3.7323,73.6194,Sukkur
QUET,60.6919,138.0937,Quetta
KARA,22.93,165.2433,Karachi
LAHO,54.4267,156.9687,Lahore
FAIS,56.7162,66.2002,Faisalabad
QUET,-34.4015,-8.6085,Quetta
QUET,-61.9535,-76.2708,Quetta
FAIS,-38.5338,135.2829,Faisalabad
KARA,23.0492,78.0243,Karachi
SUKK,53.7229,-22.7887,Sukkur
KARA,38.3918,116.1052,Karachi
FAIS,66.4318,-48.1239,Faisalabad
LAHO,-42.8799,-170.6287,Lahore
ISLA,72.8927,-130.1527,Islamabad
KARA,-40.7291,-83.3976,Karachi
LAHO,24.9568,-110.4872,Lahore
QUET,79.0735,-15.3026,Quetta
ISLA,-34.7565,77.3387,Islamabad
FAIS,-47.6029,-78.1161,Faisalabad
GUJR,-20.986,143.6864,Gujranwala
ISLA,-43.9565,39.5884,Islamabad
GUJR,-30.2029,29.8485,Gujranwala
GUJR,-71.2733,-143.0238,Gujranwala
MULT,16.3356,167.0663,Multan
GUJR,56.8952,87.8178,Gujranwala
ISLA,86.7507,-159.3825,Islamabad
MULT,77.762,139.4956,Multan
SUKK,70.1286,-145.6468,Sukkur
QUET,-81.3455,0.6458,Quetta
KARA,-14.49,106.1502,Karachi
FAIS,81.5183,177.2087,Faisalabad
GWAD,8.4476,-24.7157,Gwadar
SUKK,51.9669,162.6608,Sukkur
GWAD,87.5923,179.2093,Gwadar
GWAD,64.8212,-157.785,Gwadar
PESH,-13.451,-153.0974,Peshawar
GWAD,22.2086,139.1146,Gwadar
QUET,19.3023,0.8157,Quetta
QUET,-81.2553,-71.7044,Quetta
FAIS,38.5935,164.5242,Faisalabad
MULT,-11.7936,109.8436,Multan
SUKK,-63.3603,-168.7803,Sukkur
LAHO,10.7275,-61.0012,Lahore
ISLA,-51.6928,45.118,Islamabad
KARA,3.2759,-123.6521,Karachi
LAHO,-7.9197,48.8508,Lahore
ISLA,-2.1897,-118.037,Islamabad
ISLA,-22.777,-23.8677,Islamabad
FAIS,73.3979,-40.5313,Faisalabad
SIAL,51.3661,-25.3611,Sialkot
LAHO,-57.0872,73.3472,Lahore
KARA,-28.8751,-124.3821,Karachi
KARA,-32.9282,33.6246,Karachi
GUJR,-18.8107,33.7103,Gujranwala
GUJR,36.5958,-151.098,Gujranwala
KARA,-60.5055,-170.3543,Karachi
MULT,33.7511,1.6687,Multan
QUET,2.2956,-64.6569,Quetta
ISLA,3.3548,-79.0882,Islamabad
MULT,-87.2416,127.6053,Multan
RAWA,-87.543,-96.8853,Rawalpindi
ISLA,9.5449,-170.3747,Islamabad
KARA,59.3761,83.1783,Karachi
SIAL,-73.9405,-5.523,Sialkot
GUJR,-6.887,24.0166,Gujranwala
PESH,44.317,174.6636,Peshawar
SIAL,80.0764,-161.4972,Sialkot
RAWA,56.329,102.6548,Rawalpindi
QUET,38.0058,29.4722,Quetta
SIAL,37.9358,160.7655,Sialkot
GWAD,-79.0483,-178.3603,Gwadar
GUJR,68.5579,16.3113,Gujranwala
PESH,38.5052,-88.564,Peshawar
ISLA,-46.7311,-108.4689,Islamabad
SUKK,5.63,-86.8047,Sukkur
ISLA,69.3092,49.793,Islamabad
LAHO,42.7471,69.116,Lahore
PESH,-15.1015,71.3055,Peshawar
ISLA,13.5575,-138.3684,Islamabad
LAHO,29.3451,-34.754,Lahore
